year,1,2,3,4,5,6,7,8,9,10,11,12
1964,101,246,793,2722,2910,4427,5140,2842,3061,2161,151,98
1965,30,590,686,1385,2988,4875,3540,3445,3022,916,524,86
1966,192,118,211,1313,3515,6567,4477,5075,2480,1708,472,133
1967,196,420,1245,1391,2520,3497,3997,2180,3130,708,191,17
1968,195,220,781,1596,3327,4812,4788,3706,2171,1130,83,15
1969,197,6,1054,1718,2458,4910,3965,3977,1668,946,228,49
1970,562,414,878,1948,3242,5249,5194,3558,2521,2652,720,22
1971,151,151,410,2078,2443,3592,3612,3217,2030,2141,1019,43
1972,120,255,728,2178,3047,5122,3803,2298,2003,750,70,32
1973,111,736,281,2393,3622,6110,3093,3103,3162,1496,766,705
1974,285,61,749,1995,3031,5202,7812,3823,2883,2201,287,27
1975,111,207,208,1526,3233,2410,4646,2737,2425,1661,339,15
1976,71,467,1204,1980,2098,5475,5589,3030,1611,527,192,111
1977,74,252,713,4208,3568,4450,4492,4180,1760,1571,432,271
1978,25,85,430,1075,2577,4250,3710,2466,2590,905,560,0
1979,41,123,457,1080,1768,2835,5945,2451,5325,1740,203,375
1980,85,395,964,1766,3198,3500,3726,3211,2540,2053,4,16
1981,320,303,1110,1663,3382,2526,5053,3526,2258,424,50,409
1982,25,247,412,2660,1661,4185,3506,3445,2806,540,460,141
1983,167,430,810,1978,2495,3112,5512,3442,3866,2153,95,282
1984,140,55,197,1663,3405,3471,4887,3071,3576,1311,86,296
1985,70,374,1088,2203,2742,4586,4332,2732,2853,470,69,131
1986,98,130,292,2847,1923,2568,3480,2910,2846,3025,763,69
1987,63,340,1135,1791,1720,4442,5582,3280,4233,969,287,88
1988,98,318,873,1436,4492,3598,5362,6672,3328,1915,2771,162
1989,108,607,430,1833,2318,3972,6649,2877,3813,2558,187,68
1990,106,422,753,2960,2843,3676,3552,2441,3212,1821,231,58
1991,109,316,667,1873,2632,4403,3036,3401,3785,1919,75,164
1992,127,577,853,1308,2220,3450,3652,3169,2534,1055,83,71
1993,492,1110,1094,1252,3613,7011,6480,4883,3150,1433,58,37
1994,190,918,1749,3982,3210,4405,3178,3139,2561,1831,179,7
1995,87,460,487,1617,2727,4892,4204,3570,3711,704,630,47
1996,129,368,1564,1357,4838,2411,3991,3095,2429,1942,108,0
1997,123,507,852,1349,2299,4949,3566,2595,3552,266,206,278
1998,120,445,1358,1868,2306,4842,5101,4556,1857,1447,355,15
1999,18,1,361,1912,3428,3364,4987,4104,2835,2409,129,23
2000,184,181,622,2629,3152,4174,3017,4369,4534,883,293,29
2001,46,591,332,2529,2331,3195,3447,2339,2517,2237,231,55
2002,166,139,1002,3368,2191,4188,4574,2881,2289,734,768,55
2003,84,484,935,2577,2137,4096,3481,3101,2432,2179,213,125
2004,149,294,699,3744,3646,3078,5368,2402,2674,2672,38,71
2005,325,566,2055,2146,2872,3623,3481,4317,1521,1865,185,5
2006,5,637,198,2139,2424,3975,2848,1952,1957,1151,351,86
2007,26,1016,319,3095,2141,4198,4270,2773,3492,1408,388,65
2008,335,165,1428,2045,2254,3938,3608,4226,2322,1204,33,0
2009,38,129,397,1257,1744,2333,2956,3792,1560,1274,145,23
2010,1,39,1007,3761,2756,3651,2750,2841,2719,938,120,57
2011,97,119,1198,832,2265,2883,3048,2808,1925,360,164,19
2012,89,59,202,2256,1528,5799,3605,2325,3157,1638,122,24
2013,11,98,463,1206,3344,2544,2795,2555,2033,1233,12,16
2014,21,291,307,550,3296,3696,2825,4160,3806,340,34,3
